TAM_F,TIME_F
100,0.015089
250,0.146432
500,1.3894
750,5.83628
1000,18.8939
100,0.01174
250,0.153215
500,1.39022
750,5.56132
1000,20.019
100,0.013949
250,0.159564
500,1.39426
750,5.85108
1000,18.7116
100,0.012891
250,0.155992
500,1.43362
750,5.48525
1000,18.5702
100,0.013928
250,0.154429
500,1.4645
750,5.57651
1000,19.8462
100,0.016454
250,0.15222
500,1.46498
750,5.98248
1000,19.6
100,0.011384
250,0.157436
500,1.39465
750,5.59262
1000,18.756
100,0.016379
250,0.16542
500,1.40325
750,5.49498
1000,18.6361
100,0.013184
250,0.153275
500,1.39405
750,5.51327
1000,18.9158
100,0.011283
250,0.158636
500,1.39254
750,5.47739
1000,18.5674
100,0.015388
250,0.149619
500,1.37838
750,5.53479
1000,19.4535
100,0.013914
250,0.159823
500,1.40496
750,5.53615
1000,19.1309
100,0.015277
250,0.154843
500,1.46685
750,5.5601
1000,19.7472
100,0.009958
250,0.150294
500,1.38931
750,5.93474
1000,19.5957
100,0.014547
250,0.152239
500,1.41003
750,5.51601
1000,18.6908
100,0.014373
250,0.150247
500,1.46023
750,5.48826
1000,18.8315
100,0.013788
250,0.152715
500,1.48358
750,6.05565
1000,19.1252
100,0.018315
250,0.158419
500,1.37987
750,5.67696
1000,18.6984
100,0.015929
250,0.157426
500,1.38356
750,6.09699
1000,18.4504
100,0.015038
250,0.150927
500,1.41548
750,5.55116
1000,18.506
100,0.015499
250,0.154626
500,1.44147
750,5.49461
1000,18.6181
100,0.0155
250,0.152963
500,1.39854
750,5.56177
1000,18.5536
100,0.010714
250,0.157683
500,1.47056
750,5.81384
1000,18.9402
100,0.01489
250,0.1495
500,1.46652
750,5.50456
1000,19.1386
100,0.012067
250,0.198441
500,1.61406
750,6.42838
1000,20.8495
100,0.0109
250,0.173612
500,1.81461
750,6.4781
1000,21.6155
100,0.010674
250,0.206776
500,1.55163
750,6.2633
1000,18.9949
100,0.01446
250,0.15306
500,1.41077
750,5.82252
1000,18.7197
100,0.012174
250,0.152922
500,1.3886
750,5.42166
1000,19.3348
100,0.013397
250,0.151906
500,1.48072
750,5.74135
1000,20.616
100,0.01233
250,0.166712
500,1.61757
750,6.24497
1000,22.4445
