TAM_FT,TIME_FT
100,0.023696
250,0.366918
500,2.65768
750,8.62562
1000,24.5307
100,0.023883
250,0.370969
500,2.71896
750,8.65153
1000,24.3033
100,0.023438
250,0.368531
500,2.65942
750,8.64008
1000,25.3602
100,0.020637
250,0.373487
500,2.63839
750,9.247
1000,24.1939
100,0.02336
250,0.367832
500,2.66597
750,8.6395
1000,24.2728
100,0.019001
250,0.356319
500,2.67791
750,8.74208
1000,24.1407
100,0.022914
250,0.27581
500,2.68452
750,9.10653
1000,25.2962
100,0.022431
250,0.382778
500,2.64725
750,8.833
1000,25.5764
100,0.025136
250,0.343478
500,2.59938
750,9.50613
1000,24.5693
100,0.018139
250,0.355286
500,2.64373
750,8.78712
1000,24.2054
100,0.026829
250,0.353721
500,2.65137
750,10.9297
1000,24.2449
100,0.024302
250,0.379765
500,2.61337
750,9.324
1000,24.4436
100,0.028405
250,0.336967
500,2.45502
750,9.01652
1000,24.9238
100,0.024308
250,0.337756
500,2.65322
750,8.70932
1000,24.3077
100,0.024311
250,0.38641
500,2.67856
750,9.93599
1000,26.2037
100,0.026028
250,0.317119
500,2.55443
750,8.68146
1000,24.3557
100,0.03126
250,0.344177
500,2.54519
750,8.68467
1000,24.5137
100,0.031116
250,0.310736
500,2.52654
750,8.71016
1000,26.0898
100,0.03008
250,0.318362
500,2.47597
750,8.53981
1000,23.669
100,0.021221
250,0.287885
500,2.3278
750,8.14131
1000,28.5642
100,0.019677
250,0.217098
500,2.23166
750,8.21125
1000,25.1557
100,0.020523
250,0.305798
500,2.38943
750,8.42446
1000,24.9227
100,0.042186
250,0.331772
500,2.52075
750,8.84952
1000,24.8329
100,0.023733
250,0.40222
500,2.70626
750,8.52047
1000,24.6327
100,0.030195
250,0.329275
500,2.60476
750,8.63996
1000,25.8227
100,0.01423
250,0.33316
500,2.48269
750,8.52443
1000,24.8243
100,0.065014
250,0.362246
500,2.64303
750,9.65195
1000,24.3559
100,0.025074
250,0.371893
500,2.62902
750,8.59205
1000,25.496
100,0.021865
250,0.352539
500,2.48229
750,9.00112
1000,24.5239
100,0.020804
250,0.292726
500,2.53278
750,8.81659
1000,25.002
100,0.023234
250,0.377369
500,2.58661
750,8.76565
1000,24.5731
