TAM_PO,TIME_PO
100,0.009282
250,0.091234
500,0.610437
750,2.0902
1000,4.73019
100,0.005063
250,0.074727
500,0.592253
750,2.10521
1000,4.73062
100,0.005633
250,0.074044
500,0.596569
750,1.98815
1000,4.94505
100,0.00536
250,0.074575
500,0.595729
750,2.01216
1000,4.70475
100,0.00556
250,0.075028
500,0.583047
750,1.98855
1000,4.70912
100,0.006757
250,0.07416
500,0.582096
750,2.08729
1000,4.78633
100,0.005394
250,0.074553
500,0.579715
750,1.99839
1000,4.70005
100,0.007171
250,0.076183
500,0.587918
750,2.01091
1000,4.75612
100,0.005125
250,0.073959
500,0.590448
750,1.98626
1000,4.71554
100,0.005304
250,0.073646
500,0.601205
750,2.0877
1000,4.72569
100,0.004927
250,0.073887
500,0.586574
750,1.97959
1000,4.73603
100,0.004972
250,0.073721
500,0.60133
750,1.99998
1000,4.68509
100,0.004819
250,0.074089
500,0.58797
750,1.97614
1000,4.80126
100,0.005052
250,0.077362
500,0.596211
750,2.00901
1000,4.69095
100,0.005553
250,0.073975
500,0.596149
750,1.99795
1000,4.72248
100,0.00512
250,0.073414
500,0.589577
750,1.99833
1000,4.70763
100,0.005418
250,0.077522
500,0.583696
750,1.99561
1000,4.74862
100,0.005883
250,0.075175
500,0.659443
750,1.98975
1000,4.71816
100,0.005022
250,0.073492
500,0.601723
750,1.98883
1000,4.79695
100,0.005177
250,0.079706
500,0.587386
750,2.09215
1000,4.7403
100,0.005096
250,0.073001
500,0.580369
750,1.94903
1000,5.1714
100,0.007576
250,0.077355
500,0.620397
750,2.03646
1000,5.02057
100,0.005476
250,0.073841
500,0.58692
750,1.97876
1000,4.76094
100,0.004939
250,0.074531
500,0.600043
750,1.97408
1000,4.67439
100,0.004901
250,0.075035
500,0.586667
750,1.99427
1000,4.82475
100,0.005504
250,0.074128
500,0.595044
750,1.97776
1000,4.79418
100,0.005387
250,0.07476
500,0.595195
750,2.0021
1000,4.76048
100,0.005353
250,0.074994
500,0.587597
750,2.00066
1000,4.71841
100,0.005803
250,0.075459
500,0.592049
750,1.97097
1000,4.78988
100,0.004934
250,0.081439
500,0.595842
750,2.05609
1000,4.68301
100,0.005223
250,0.07585
500,0.588407
750,1.97276
1000,4.78342
