TAM_S,TIME_S
100,0.010003
100,0.011108
100,0.014442
100,0.011899
100,0.014796
100,0.015222
100,0.013486
100,0.013178
100,0.012882
100,0.013581
100,0.01268
100,0.010097
100,0.013342
100,0.008901
100,0.012936
100,0.013538
100,0.008952
100,0.009458
100,0.01022
100,0.012384
100,0.013796
100,0.012954
100,0.013322
100,0.012351
100,0.01543
100,0.012136
100,0.009128
100,0.013491
100,0.012012
100,0.012612
100,0.013601
250,0.139643
250,0.154057
250,0.142523
250,0.144144
250,0.139466
250,0.146903
250,0.14254
250,0.152759
250,0.159731
250,0.146389
250,0.144952
250,0.150083
250,0.14596
250,0.146767
250,0.15152
250,0.149776
250,0.145965
250,0.143212
250,0.14093
250,0.147039
250,0.145559
250,0.153601
250,0.144945
250,0.14182
250,0.144122
250,0.143402
250,0.142551
250,0.152478
250,0.142875
250,0.151911
250,0.142806
500,1.15603
500,1.10522
500,1.10179
500,1.30664
500,1.09913
500,1.10008
500,1.12791
500,1.1234
500,1.15541
500,1.14967
500,1.13974
500,1.1058
500,1.11805
500,1.0898
500,1.14557
500,1.11738
500,1.11024
500,1.1498
500,1.08619
500,1.10122
500,1.14103
500,1.29446
500,1.11394
500,1.13607
500,1.11299
500,1.10215
500,1.1113
500,1.13624
500,1.17198
500,1.09984
500,1.13451
750,3.74669
750,3.76334
750,3.766
750,3.84734
750,3.78331
750,3.74368
750,3.81429
750,3.78135
750,3.82501
750,3.83209
750,3.87982
750,3.90739
750,3.77345
750,3.82533
750,3.79646
750,3.81359
750,3.72512
750,3.79752
750,3.76349
750,3.7227
750,3.75704
750,3.72412
750,3.86389
750,3.78497
750,3.90997
750,3.85129
750,3.93523
750,3.79217
750,3.79807
750,3.85704
750,3.7541
1000,8.70615
1000,9.1265
1000,8.84478
1000,8.95357
1000,9.07355
1000,8.86406
1000,8.91298
1000,8.78906
1000,9.1298
1000,9.19111
1000,9.14554
1000,10.1391
1000,8.78719
1000,8.95473
1000,8.8682
1000,9.09266
1000,9.10038
1000,9.10966
1000,11.0766
1000,10.7089
1000,12.5215
1000,10.3362
1000,9.72737
1000,10.0356
1000,9.65095
1000,10.0069
1000,9.71139
1000,9.55185
1000,9.55742
1000,9.85858
1000,9.89096
