TAM_T,TIME_T
100,0.007861
250,0.125991
500,2.53224
750,10.3206
1000,32.7371
100,0.004002
250,0.13752
500,2.23619
750,10.7827
1000,35.051
100,0.004093
250,0.148505
500,2.13081
750,10.9407
1000,35.3105
100,0.004424
250,0.14338
500,2.28685
750,10.4113
1000,32.4161
100,0.005724
250,0.139836
500,2.29768
750,11.1817
1000,33.7387
100,0.004043
250,0.142924
500,2.21174
750,10.1111
1000,32.2567
100,0.005686
250,0.146942
500,2.15473
750,10.1146
1000,32.1766
100,0.006309
250,0.144866
500,2.20895
750,10.1653
1000,32.2392
100,0.004018
250,0.140274
500,2.13094
750,10.1149
1000,32.56
100,0.005891
250,0.144727
500,2.16713
750,10.1344
1000,32.2899
100,0.003974
250,0.146666
500,2.16707
750,10.0642
1000,32.3214
100,0.004414
250,0.152899
500,2.18362
750,10.1195
1000,32.7722
100,0.005227
250,0.134019
500,2.17448
750,10.1057
1000,32.3119
100,0.003973
250,0.140525
500,2.15854
750,10.0911
1000,32.4224
100,0.00431
250,0.147208
500,2.16926
750,10.1397
1000,32.2956
100,0.004723
250,0.143948
500,2.18481
750,10.128
1000,32.3379
100,0.003901
250,0.144853
500,2.11134
750,10.0863
1000,32.2354
100,0.004903
250,0.147356
500,2.09345
750,10.0489
1000,32.1221
100,0.004066
250,0.138173
500,2.09578
750,10.0693
1000,35.8315
100,0.010855
250,0.207492
500,3.79714
750,17.4803
1000,53.3234
100,0.008352
250,0.270243
500,2.81146
750,12.6586
1000,44.3591
100,0.00395
250,0.170852
500,2.52617
750,15.6052
1000,43.9994
100,0.005812
250,0.190124
500,2.70044
750,13.3439
1000,47.6517
100,0.008127
250,0.219013
500,2.81692
750,13.3808
1000,45.5395
100,0.007319
250,0.196623
500,2.63237
750,13.0997
1000,42.4659
100,0.005185
250,0.202423
500,2.67464
750,13.7172
1000,38.6937
100,0.006209
250,0.186703
500,2.63481
750,11.7
1000,49.9516
100,0.006217
250,0.181431
500,3.17043
750,16.3757
1000,48.4995
100,0.005296
250,0.295085
500,3.25488
750,13.8914
1000,35.9942
100,0.005501
250,0.147491
500,2.35158
750,10.8781
1000,33.6906
100,0.004708
250,0.157758
500,2.23922
750,12.9296
1000,42.3472
