TAM_B,TIME_B
4,7.87243
16,1.98289
32,1.02299
4,7.34943
16,1.85199
32,0.968447
4,7.14344
16,1.78292
32,0.945454
4,6.93939
16,1.82115
32,0.992665
4,7.06966
16,1.92072
32,0.982993
4,6.98944
16,1.8051
32,1.05031
4,6.96375
16,1.79208
32,1.01024
4,7.13855
16,1.81591
32,0.987861
4,7.00413
16,1.78387
32,0.943277
4,7.01567
16,1.82027
32,0.988969
4,7.14948
16,1.89043
32,1.30224
4,8.74154
16,2.28474
32,1.41343
4,6.97981
16,1.86773
32,1.03165
4,7.06438
16,1.85638
32,1.00162
4,7.02002
16,1.7808
32,0.947821
4,6.97405
16,1.89491
32,0.989903
4,7.03932
16,1.81532
32,0.997996
4,7.1477
16,1.94711
32,0.992418
4,7.15572
16,2.06603
32,1.24983
4,7.83278
16,1.92469
32,1.05886
4,7.60978
16,1.94399
32,1.10586
4,7.46833
16,1.96568
32,1.0739
4,7.51586
16,1.98619
32,1.08099
4,7.42427
16,1.96352
32,1.05339
4,7.43551
16,1.96441
32,1.0653
4,7.36706
16,1.89906
32,1.04049
4,8.1125
16,1.91193
32,1.16122
4,7.42756
16,2.18305
32,1.02104
4,7.3913
16,1.88122
32,1.0936
4,7.24868
16,1.94443
32,1.07472
4,7.1643
16,1.81873
32,0.989121
