TAM_F,TIME_F
100,0.035183
250,0.362052
500,2.57424
750,8.89579
1000,24.1564
100,0.02034
250,0.35418
500,2.62631
750,8.88465
1000,24.6049
100,0.01898
250,0.299962
500,2.54934
750,8.9786
1000,24.4151
100,0.016294
250,0.339027
500,2.60373
750,9.25537
1000,24.2125
100,0.022372
250,0.366555
500,2.62375
750,9.45782
1000,24.0226
100,0.020168
250,0.370366
500,2.62311
750,9.074
1000,24.2507
100,0.019475
250,0.372499
500,2.5729
750,9.27854
1000,24.9275
100,0.021328
250,0.366657
500,2.61775
750,9.29758
1000,24.8222
100,0.024711
250,0.374311
500,2.63584
750,9.60906
1000,25.4315
100,0.017366
250,0.490802
500,3.5819
750,8.47736
1000,24.015
100,0.016479
250,0.338183
500,2.61124
750,8.9302
1000,23.3937
100,0.01685
250,0.238921
500,2.46144
750,8.87806
1000,23.9458
100,0.017562
250,0.357629
500,2.53322
750,9.06802
1000,24.1677
100,0.022681
250,0.363615
500,2.55551
750,8.90431
1000,23.9011
100,0.016675
250,0.341019
500,2.56896
750,8.86687
1000,24.0583
100,0.015902
250,0.369897
500,2.54365
750,8.85191
1000,24.5959
100,0.021781
250,0.34322
500,2.63157
750,9.0061
1000,24.9261
100,0.019561
250,0.323906
500,2.63122
750,8.97559
1000,24.3355
100,0.022134
250,0.363638
500,2.53558
750,8.81459
1000,24.1555
100,0.022518
250,0.369355
500,2.56831
750,8.81756
1000,24.0997
100,0.015247
250,0.360826
500,2.55278
750,9.25784
1000,24.0817
100,0.019834
250,0.372646
500,2.59181
750,8.94552
1000,27.2074
100,0.015341
250,0.340509
500,2.65879
750,9.49316
1000,24.5049
100,0.015075
250,0.37163
500,2.5634
750,9.56214
1000,24.1577
100,0.018578
250,0.351186
500,2.60387
750,9.40863
1000,24.0079
100,0.02051
250,0.363015
500,2.50316
750,8.92277
1000,23.9829
100,0.014279
250,0.358031
500,2.50855
750,9.32794
1000,24.9128
100,0.036293
250,0.351825
500,2.58042
750,8.86004
1000,24.2985
100,0.048566
250,0.465436
500,2.55348
750,8.98759
1000,24.5147
100,0.023049
250,0.364829
500,2.61656
750,8.6859
1000,24.3865
100,0.030241
250,0.341383
500,2.58581
750,8.70452
1000,24.4514
