TAM_PO,TIME_PO
100,0.00913
250,0.080604
500,0.626531
750,2.17568
1000,5.21338
100,0.004941
250,0.078935
500,0.622973
750,2.11103
1000,4.95401
100,0.005657
250,0.077576
500,0.629697
750,2.09465
1000,4.97983
100,0.006217
250,0.080332
500,0.615662
750,2.12518
1000,5.34953
100,0.00609
250,0.075626
500,0.666088
750,2.11447
1000,4.94617
100,0.006288
250,0.078973
500,0.614821
750,2.16667
1000,4.84946
100,0.006224
250,0.078039
500,0.598232
750,2.12212
1000,5.18512
100,0.004984
250,0.079045
500,0.664224
750,2.0884
1000,4.86708
100,0.005772
250,0.076905
500,0.612789
750,2.06012
1000,4.79621
100,0.006556
250,0.081222
500,0.614631
750,2.06638
1000,4.84373
100,0.00591
250,0.0739
500,0.621335
750,2.0695
1000,4.98254
100,0.006034
250,0.077113
500,0.661493
750,2.21915
1000,5.05833
100,0.005681
250,0.074703
500,0.617308
750,2.07658
1000,4.93749
100,0.006645
250,0.076417
500,0.640326
750,2.36335
1000,4.87078
100,0.005217
250,0.082382
500,0.605056
750,2.06187
1000,4.89604
100,0.005474
250,0.075924
500,0.68302
750,2.64752
1000,5.6963
100,0.007657
250,0.092508
500,0.661285
750,2.26396
1000,5.15528
100,0.008262
250,0.102105
500,0.662949
750,2.80913
1000,5.5686
100,0.005374
250,0.076007
500,0.70111
750,3.14383
1000,6.37771
100,0.008086
250,0.117979
500,0.663513
750,2.24193
1000,5.45664
100,0.009037
250,0.078212
500,0.653338
750,2.21917
1000,5.3427
100,0.008309
250,0.101805
500,0.743474
750,2.28222
1000,5.13491
100,0.005496
250,0.078309
500,0.605469
750,2.07457
1000,4.93316
100,0.004932
250,0.076799
500,0.611603
750,2.17828
1000,4.9605
100,0.005949
250,0.080678
500,0.617615
750,2.11871
1000,5.00792
100,0.005503
250,0.076652
500,0.627704
750,2.30903
1000,5.31161
100,0.004956
250,0.095356
500,0.655285
750,2.14821
1000,4.93065
100,0.005345
250,0.074702
500,0.602844
750,2.12614
1000,4.9656
100,0.006396
250,0.077333
500,0.59968
750,2.15454
1000,4.84765
100,0.005635
250,0.075637
500,0.609184
750,2.0946
1000,4.90625
100,0.00553
250,0.081145
500,0.607992
750,2.0444
1000,4.97113
