TAM_SO,TIME_SO
100,0.054039
250,0.03223
500,0.446058
750,2.56564
1000,13.5095
100,0.003108
250,0.033071
500,0.320702
750,2.3407
1000,13.4506
100,0.003054
250,0.032723
500,0.329467
750,2.31215
1000,13.5235
100,0.001793
250,0.033008
500,0.323598
750,2.43452
1000,13.5471
100,0.002823
250,0.029226
500,0.319503
750,2.33628
1000,13.4256
100,0.002485
250,0.029005
500,0.321434
750,2.46798
1000,13.4827
100,0.002677
250,0.029769
500,0.320802
750,2.55046
1000,13.4264
100,0.002653
250,0.029817
500,0.32055
750,2.49333
1000,13.3685
100,0.001801
250,0.030731
500,0.315469
750,2.51439
1000,13.5751
100,0.003001
250,0.030769
500,0.317585
750,2.49968
1000,13.4853
100,0.002477
250,0.031968
500,0.314746
750,2.55207
1000,13.5433
100,0.001879
250,0.031133
500,0.323314
750,2.43484
1000,13.4822
100,0.002904
250,0.031247
500,0.316162
750,2.47203
1000,13.5838
100,0.003289
250,0.029627
500,0.317676
750,2.60093
1000,13.8902
100,0.00269
250,0.041891
500,0.339543
750,2.52635
1000,13.6303
100,0.001769
250,0.030424
500,0.321072
750,2.50356
1000,13.5971
100,0.001809
250,0.029267
500,0.321397
750,2.52213
1000,13.5795
100,0.002441
250,0.032093
500,0.319757
750,2.29968
1000,13.533
100,0.003101
250,0.030493
500,0.318457
750,2.52366
1000,13.6001
100,0.003163
250,0.03093
500,0.315347
750,2.58375
1000,13.3803
100,0.003148
250,0.028791
500,0.316703
750,2.34872
1000,13.458
100,0.00264
250,0.030186
500,0.316814
750,2.51325
1000,13.6596
100,0.001806
250,0.030435
500,0.317173
750,2.49752
1000,13.3646
100,0.002643
250,0.029105
500,0.317558
750,2.31123
1000,13.5389
100,0.003007
250,0.03296
500,0.320274
750,2.29114
1000,13.4698
100,0.003211
250,0.02864
500,0.314719
750,2.32767
1000,13.8175
100,0.001813
250,0.030798
500,0.347826
750,2.3988
1000,13.4721
100,0.003098
250,0.029358
500,0.318791
750,2.34937
1000,13.3979
100,0.00177
250,0.033807
500,0.333261
750,2.48853
1000,13.346
100,0.002272
250,0.03101
500,0.317847
750,2.50152
1000,13.4045
100,0.001757
250,0.029837
500,0.320581
750,2.31513
1000,13.4144
