TAM_FL,TIME_FL
100,0.008498
250,0.06645
500,0.634401
750,2.68236
1000,8.43227
100,0.004805
250,0.067052
500,0.709038
750,2.84091
1000,7.83787
100,0.004162
250,0.085316
500,0.591259
750,2.8953
1000,7.69562
100,0.005466
250,0.072524
500,0.64042
750,2.68254
1000,8.13279
100,0.004796
250,0.076506
500,0.767685
750,3.29471
1000,8.13341
100,0.006721
250,0.083312
500,0.66767
750,2.7582
1000,8.01409
100,0.008316
250,0.065348
500,0.676628
750,3.47968
1000,10.3776
100,0.011419
250,0.108189
500,0.846065
750,2.92305
1000,8.41219
100,0.008424
250,0.071749
500,0.672932
750,2.78084
1000,7.71117
100,0.006254
250,0.071959
500,0.650464
750,2.88416
1000,7.85228
100,0.00614
250,0.069684
500,0.66257
750,2.70756
1000,8.13138
100,0.005846
250,0.0705
500,0.639306
750,2.77197
1000,8.07147
100,0.005623
250,0.069486
500,0.654364
750,2.80759
1000,7.9882
100,0.005561
250,0.069052
500,0.647122
750,2.74643
1000,7.8734
100,0.005214
250,0.069925
500,0.632116
750,2.80246
1000,8.02056
100,0.004263
250,0.071514
500,0.65143
750,2.73946
1000,7.98536
100,0.004316
250,0.070418
500,0.65987
750,2.89339
1000,8.40221
100,0.006421
250,0.088737
500,0.941398
750,3.00266
1000,11.2247
100,0.004851
250,0.101628
500,1.08826
750,4.39872
1000,11.1561
100,0.006188
250,0.086387
500,0.763776
750,3.2225
1000,9.06094
100,0.004657
250,0.066775
500,0.601453
750,2.64862
1000,7.82818
100,0.004316
250,0.069135
500,0.642035
750,2.65516
1000,7.60794
100,0.006639
250,0.075827
500,0.672073
750,2.92741
1000,8.77529
100,0.004218
250,0.074678
500,0.720048
750,2.70576
1000,7.59258
100,0.004643
250,0.064875
500,0.637746
750,2.63666
1000,7.92781
100,0.006613
250,0.066865
500,0.657545
750,2.76878
1000,7.59088
100,0.004108
250,0.066378
500,0.60343
750,2.8278
1000,7.89845
100,0.004191
250,0.065986
500,0.616898
750,2.70284
1000,7.8124
100,0.008519
250,0.080273
500,0.739683
750,2.79618
1000,8.33813
100,0.005629
250,0.064663
500,0.58505
750,2.67141
1000,7.68383
100,0.004808
250,0.066165
500,0.661695
750,2.79435
1000,7.41678
